,No.,Movie,Year,IMDB_rating,Number of votes,Meta favor,Meta score,Certificate,Runtime,Genre,Gross Exact Value,Gross Approximation,movie_url
0,1,Logan,2017,8.1,617168,,,R,137 min,"Action, Drama, Sci-Fi","226,277,068",$226.28M,/title/tt3315342/
1,2,Thor: Ragnarok,2017,7.9,553113,,,PG-13,130 min,"Action, Adventure, Comedy","315,058,289",$315.06M,/title/tt3501632/
2,3,Guardians of the Galaxy Vol. 2,2017,7.6,540751,,,PG-13,136 min,"Action, Adventure, Comedy","389,813,101",$389.81M,/title/tt3896198/
3,4,Star Wars: Episode VIII - The Last Jedi,2017,7.0,540177,,,PG-13,152 min,"Action, Adventure, Fantasy","620,181,382",$620.18M,/title/tt2527336/
4,5,Wonder Woman,2017,7.4,528410,,,PG-13,141 min,"Action, Adventure, Fantasy","412,563,408",$412.56M,/title/tt0451279/
5,6,Dunkirk,2017,7.9,518911,,,PG-13,106 min,"Action, Drama, History","188,373,161",$188.37M,/title/tt5013056/
6,7,Spider-Man: Homecoming,2017,7.4,485607,,,PG-13,133 min,"Action, Adventure, Sci-Fi","334,201,140",$334.20M,/title/tt2250912/
7,8,Get Out,2017,7.7,461317,,,R,104 min,"Horror, Mystery, Thriller","176,040,665",$176.04M,/title/tt5052448/
8,9,It,2017,7.3,434848,,,R,135 min,Horror,"327,481,748",$327.48M,/title/tt1396484/
9,10,Blade Runner 2049,2017,8.0,431443,,,R,164 min,"Action, Drama, Mystery","92,054,159",$92.05M,/title/tt1856101/
10,11,Baby Driver,2017,7.6,412325,,,R,113 min,"Action, Crime, Drama","107,825,862",$107.83M,/title/tt3890160/
11,12,"Three Billboards Outside Ebbing, Missouri",2017,8.2,400481,,,R,115 min,"Comedy, Crime, Drama","54,513,740",$54.51M,/title/tt5027774/
12,13,Justice League,2017,6.4,364009,,,PG-13,120 min,"Action, Adventure, Fantasy","229,024,295",$229.02M,/title/tt0974015/
13,14,The Shape of Water,2017,7.3,351057,,,R,123 min,"Adventure, Drama, Fantasy","63,859,435",$63.86M,/title/tt5580390/
14,15,John Wick: Chapter 2,2017,7.5,344708,,,R,122 min,"Action, Crime, Thriller","92,029,184",$92.03M,/title/tt4425200/
15,16,Coco,2017,8.4,340533,,,PG,105 min,"Animation, Adventure, Family","209,726,015",$209.73M,/title/tt2380307/
16,17,Jumanji: Welcome to the Jungle,2017,6.9,301907,,,PG-13,119 min,"Action, Adventure, Comedy","404,515,480",$404.52M,/title/tt2283362/
17,18,Beauty and the Beast,2017,7.1,259923,,,PG,129 min,"Family, Fantasy, Musical","504,014,165",$504.01M,/title/tt2771200/
18,19,Kong: Skull Island,2017,6.6,258507,,,PG-13,118 min,"Action, Adventure, Fantasy","168,052,812",$168.05M,/title/tt3731562/
19,20,Kingsman: The Golden Circle,2017,6.7,257103,,,R,141 min,"Action, Adventure, Comedy","100,234,838",$100.23M,/title/tt4649466/
20,21,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,250014,,,PG-13,129 min,"Action, Adventure, Fantasy","172,558,876",$172.56M,/title/tt1790809/
21,23,Alien: Covenant,2017,6.4,244621,,,R,122 min,"Horror, Sci-Fi, Thriller","74,262,031",$74.26M,/title/tt2316204/
22,25,The Greatest Showman,2017,7.6,221072,,,PG,105 min,"Biography, Drama, Musical","174,340,174",$174.34M,/title/tt1485796/
23,26,Lady Bird,2017,7.4,219522,,,R,94 min,"Comedy, Drama","48,958,273",$48.96M,/title/tt4925292/
24,27,War for the Planet of the Apes,2017,7.4,218598,,,PG-13,140 min,"Action, Adventure, Drama","146,880,162",$146.88M,/title/tt3450958/
25,28,Murder on the Orient Express,2017,6.5,198991,,,PG-13,114 min,"Crime, Drama, Mystery","102,826,543",$102.83M,/title/tt3402236/
26,29,Life,2017,6.6,198419,,,R,104 min,"Horror, Sci-Fi, Thriller","30,234,022",$30.23M,/title/tt5442430/
27,30,The Fate of the Furious,2017,6.7,196435,,,PG-13,136 min,"Action, Adventure, Crime","226,008,385",$226.01M,/title/tt4630562/
28,31,Call Me by Your Name,2017,7.9,192428,,,R,132 min,"Drama, Romance","18,095,701",$18.10M,/title/tt5726616/
29,32,Wind River,2017,7.7,190747,,,R,107 min,"Crime, Drama, Mystery","33,800,859",$33.80M,/title/tt5362988/
30,34,Ghost in the Shell,2017,6.3,189411,,,PG-13,107 min,"Action, Crime, Drama","40,563,557",$40.56M,/title/tt1219827/
31,35,King Arthur: Legend of the Sword,2017,6.7,183809,,,PG-13,126 min,"Action, Adventure, Drama","39,175,066",$39.18M,/title/tt1972591/
32,37,Mother!,2017,6.6,180817,,,R,121 min,"Drama, Horror, Mystery","17,800,004",$17.80M,/title/tt5109784/
33,38,The Hitman's Bodyguard,2017,6.9,178077,,,R,118 min,"Action, Comedy, Crime","75,468,583",$75.47M,/title/tt1959563/
34,40,"I, Tonya",2017,7.5,168812,,,R,119 min,"Biography, Comedy, Drama","30,014,539",$30.01M,/title/tt5580036/
35,41,Atomic Blonde,2017,6.7,167330,,,R,115 min,"Action, Thriller","51,687,870",$51.69M,/title/tt2406566/
36,42,The Mummy,2017,5.4,166872,,,PG-13,110 min,"Action, Adventure, Fantasy","80,101,125",$80.10M,/title/tt2345759/
37,43,Bright,2017,6.3,161912,,,TV-MA,117 min,"Action, Fantasy, Thriller",,,/title/tt5519340/
38,44,Darkest Hour,2017,7.4,161515,,,PG-13,125 min,"Biography, Drama, Family","56,468,410",$56.47M,/title/tt4555426/
39,46,Valerian and the City of a Thousand Planets,2017,6.5,155007,,,PG-13,137 min,"Action, Adventure, Family","41,189,488",$41.19M,/title/tt2239822/
40,48,Baywatch,2017,5.5,153508,,,R,116 min,"Action, Comedy, Crime","58,060,186",$58.06M,/title/tt1469304/
41,49,American Made,2017,7.2,150555,,,R,115 min,"Action, Biography, Comedy","51,342,000",$51.34M,/title/tt3532216/
0,51,Transformers: The Last Knight,2017,5.2,130188,,,PG-13,154 min,"Action, Adventure, Sci-Fi","130,168,683",$130.17M,/title/tt3371366/
1,52,Wonder,2017,8.0,130044,,,PG,113 min,"Drama, Family","132,422,809",$132.42M,/title/tt2543472/
2,54,Molly's Game,2017,7.4,129025,,,R,140 min,"Biography, Crime, Drama","28,780,744",$28.78M,/title/tt4209788/
3,55,The Disaster Artist,2017,7.4,128588,,,R,104 min,"Biography, Comedy, Drama","21,120,616",$21.12M,/title/tt3521126/
4,56,The Lego Batman Movie,2017,7.3,126457,,,PG,104 min,"Animation, Action, Comedy","175,750,384",$175.75M,/title/tt4116284/
5,57,The Post,2017,7.2,126361,,,PG-13,116 min,"Biography, Drama, History","81,903,458",$81.90M,/title/tt6294822/
6,58,The Dark Tower,2017,5.6,121137,,,PG-13,95 min,"Action, Adventure, Fantasy","50,701,325",$50.70M,/title/tt1648190/
7,59,Logan Lucky,2017,7.0,120806,,,PG-13,118 min,"Comedy, Crime, Drama","27,780,977",$27.78M,/title/tt5439796/
8,60,The Big Sick,2017,7.5,115074,,,R,120 min,"Comedy, Drama, Romance","42,872,467",$42.87M,/title/tt5462602/
9,61,The Killing of a Sacred Deer,2017,7.0,111596,,,R,121 min,"Drama, Horror, Mystery","2,291,901",$2.29M,/title/tt5715874/
10,64,T2 Trainspotting,2017,7.2,107638,,,R,117 min,Drama,"2,402,004",$2.40M,/title/tt2763304/
11,65,Happy Death Day,2017,6.5,107598,,,PG-13,96 min,"Horror, Mystery, Thriller","55,683,845",$55.68M,/title/tt5308322/
12,67,Despicable Me 3,2017,6.3,106388,,,PG,89 min,"Animation, Adventure, Comedy","264,624,300",$264.62M,/title/tt3469046/
13,68,Annabelle: Creation,2017,6.5,105859,,,R,109 min,"Horror, Mystery, Thriller","102,092,201",$102.09M,/title/tt5140878/
14,69,The Boss Baby,2017,6.3,103402,,,PG,97 min,"Animation, Adventure, Comedy","175,003,033",$175.00M,/title/tt3874544/
15,70,Phantom Thread,2017,7.5,103240,,,R,130 min,"Drama, Romance","21,023,275",$21.02M,/title/tt5776858/
16,71,Power Rangers,2017,5.9,99045,,,PG-13,124 min,"Action, Adventure, Sci-Fi","85,364,450",$85.36M,/title/tt3717490/
17,72,What Happened to Monday,2017,6.9,96426,,,TV-MA,123 min,"Action, Adventure, Crime",,,/title/tt1536537/
18,73,Okja,2017,7.3,95202,,,TV-MA,120 min,"Action, Adventure, Drama",,,/title/tt3967856/
19,74,You Were Never Really Here,2017,6.8,93812,,,R,89 min,"Crime, Drama, Mystery","2,523,610",$2.52M,/title/tt5742374/
20,75,The Foreigner,2017,7.0,93486,,,R,113 min,"Action, Thriller","34,393,507",$34.39M,/title/tt1615160/
21,76,Gifted,2017,7.6,93403,,,PG-13,101 min,Drama,"24,801,212",$24.80M,/title/tt4481414/
22,77,Downsizing,2017,5.7,92899,,,R,135 min,"Drama, Sci-Fi","24,449,754",$24.45M,/title/tt1389072/
23,78,Geostorm,2017,5.3,89199,,,PG-13,109 min,"Action, Sci-Fi, Thriller","33,700,160",$33.70M,/title/tt1981128/
24,79,Fifty Shades Darker,2017,4.6,87971,,,R,118 min,"Drama, Romance","114,376,885",$114.38M,/title/tt4465564/
25,80,The Florida Project,2017,7.6,86233,,,R,111 min,Drama,"5,904,366",$5.90M,/title/tt5649144/
26,81,The Defenders,2017,7.3,85480,,,TV-MA,50 min,"Action, Adventure, Crime",,,/title/tt4230076/
27,82,xXx: Return of Xander Cage,2017,5.2,82778,,,PG-13,107 min,"Action, Adventure, Thriller","44,898,413",$44.90M,/title/tt1293847/
28,83,Gerald's Game,2017,6.6,81007,,,TV-MA,103 min,"Drama, Horror, Thriller",,,/title/tt3748172/
29,85,The Circle,2017,5.3,79873,,,PG-13,110 min,"Drama, Sci-Fi, Thriller","20,476,391",$20.48M,/title/tt4287320/
30,88,The Death of Stalin,2017,7.2,78938,,,R,107 min,"Comedy, Drama, History","8,041,828",$8.04M,/title/tt4686844/
31,89,It Comes At Night,2017,6.2,78836,,,R,91 min,"Horror, Mystery","13,985,117",$13.99M,/title/tt4695012/
32,90,Good Time,2017,7.4,74925,,,R,102 min,"Crime, Drama, Thriller","2,026,499",$2.03M,/title/tt4846232/
33,92,Going in Style,2017,6.6,73427,,,PG-13,96 min,"Comedy, Crime","45,003,463",$45.00M,/title/tt2568862/
34,93,Death Note,2017,4.5,72385,,,TV-MA,101 min,"Action, Adventure, Crime",,,/title/tt1241317/
35,94,Reis,2017,1.4,72029,,,,108 min,"Biography, Drama",,,/title/tt5988370/
36,95,Baahubali 2: The Conclusion,2017,8.2,71087,,,Not Rated,167 min,"Action, Drama","20,186,659",$20.19M,/title/tt4849438/
37,96,Cars 3,2017,6.7,69522,,,G,102 min,"Animation, Adventure, Comedy","152,901,115",$152.90M,/title/tt3606752/
38,98,All the Money in the World,2017,6.8,69411,,,R,132 min,"Biography, Crime, Drama","25,106,315",$25.11M,/title/tt5294550/
39,99,The Ritual,2017,6.3,69357,,,TV-MA,94 min,"Horror, Mystery, Thriller",,,/title/tt5638642/
0,101,Shot Caller,2017,7.3,67236,,,R,121 min,"Crime, Drama, Thriller",,,/title/tt4633690/
1,102,American Assassin,2017,6.2,66018,,,R,112 min,"Action, Thriller","36,249,674",$36.25M,/title/tt1961175/
2,103,Jigsaw,2017,5.8,64674,,,R,92 min,"Crime, Horror, Mystery","38,052,832",$38.05M,/title/tt3348730/
3,104,Hostiles,2017,7.2,64661,,,R,134 min,"Drama, Western","29,819,114",$29.82M,/title/tt5478478/
4,105,The Mountain Between Us,2017,6.4,63144,,,PG-13,112 min,"Action, Adventure, Drama","30,348,555",$30.35M,/title/tt2226597/
5,106,A Dog's Purpose,2017,7.2,62340,,,PG,100 min,"Adventure, Comedy, Drama","64,508,620",$64.51M,/title/tt1753383/
6,108,Daddy's Home 2,2017,6.0,58074,,,PG-13,100 min,Comedy,"104,029,443",$104.03M,/title/tt5657846/
7,110,The Babysitter,2017,6.3,56896,,,TV-MA,85 min,"Comedy, Horror",,,/title/tt4225622/
8,111,Paddington 2,2017,7.8,56417,,,PG,103 min,"Adventure, Comedy, Family","40,442,052",$40.44M,/title/tt4468740/
9,114,The Snowman,2017,5.1,55417,,,R,119 min,"Crime, Drama, Mystery","6,670,765",$6.67M,/title/tt1758810/
10,115,A Ghost Story,2017,6.9,55319,,,R,92 min,"Drama, Fantasy, Romance","1,596,371",$1.60M,/title/tt6265828/
11,116,Brawl in Cell Block 99,2017,7.1,54762,,,Not Rated,132 min,"Action, Crime, Drama",,,/title/tt5657856/
12,117,Only the Brave,2017,7.6,53413,,,PG-13,134 min,"Action, Biography, Drama","18,340,051",$18.34M,/title/tt3829920/
13,119,The Emoji Movie,2017,3.3,53122,,,PG,86 min,"Animation, Adventure, Comedy","86,089,513",$86.09M,/title/tt4877122/
14,121,Pitch Perfect 3,2017,5.8,52471,,,PG-13,93 min,"Comedy, Music","104,897,530",$104.90M,/title/tt4765284/
15,122,Twin Peaks,2017,8.5,51534,,,TV-MA,60 min,"Crime, Drama, Fantasy",,,/title/tt4093826/
16,123,The Square,2017,7.2,51377,,,R,151 min,"Comedy, Drama","1,502,347",$1.50M,/title/tt4995790/
17,125,The Beguiled,2017,6.3,49023,,,R,93 min,"Drama, Thriller","10,576,669",$10.58M,/title/tt5592248/
18,127,Battle of the Sexes,2017,6.7,47648,,,PG-13,121 min,"Biography, Comedy, Drama","12,638,526",$12.64M,/title/tt4622512/
19,128,1922,2017,6.3,47478,,,TV-MA,102 min,"Crime, Drama, Horror",,,/title/tt6214928/
20,129,Papillon,2017,7.2,46962,,,R,133 min,"Adventure, Biography, Crime","2,335,896",$2.34M,/title/tt5093026/
21,130,Loving Vincent,2017,7.8,46895,,,PG-13,94 min,"Animation, Biography, Crime","6,735,118",$6.74M,/title/tt3262342/
22,132,47 Meters Down,2017,5.6,46021,,,PG-13,89 min,"Adventure, Drama, Horror","44,307,191",$44.31M,/title/tt2932536/
23,133,Godless,2017,8.3,45966,,,TV-MA,60 min,"Drama, Western",,,/title/tt5516154/
24,134,The Space Between Us,2017,6.4,45900,,,PG-13,120 min,"Drama, Romance, Sci-Fi","7,885,294",$7.89M,/title/tt3922818/
25,136,Ferdinand,2017,6.7,45439,,,PG,108 min,"Animation, Adventure, Comedy","84,410,380",$84.41M,/title/tt3411444/
26,137,Detroit,2017,7.3,45131,,,R,143 min,"Crime, Drama, History","16,790,139",$16.79M,/title/tt5390504/
27,139,Rough Night,2017,5.2,44607,,,R,101 min,"Comedy, Crime, Thriller","22,062,200",$22.06M,/title/tt4799050/
28,140,I Don't Feel at Home in This World Anymore.,2017,6.9,44501,,,TV-MA,93 min,"Comedy, Crime, Drama",,,/title/tt5710514/
29,142,First Reformed,2017,7.1,43428,,,R,113 min,"Drama, Mystery, Thriller","3,448,256",$3.45M,/title/tt6053438/
30,143,Before I Fall,2017,6.4,43319,,,PG-13,98 min,"Drama, Fantasy, Mystery","12,230,791",$12.23M,/title/tt1691916/
31,144,Jungle,2017,6.7,42387,,,R,115 min,"Adventure, Biography, Drama",,,/title/tt3758172/
32,146,The Upside,2017,6.9,41069,,,PG-13,126 min,"Comedy, Drama","108,252,517",$108.25M,/title/tt1987680/
33,147,Chips,2017,6.0,40856,,,R,100 min,"Action, Comedy, Crime","18,591,819",$18.59M,/title/tt0493405/
34,150,War Machine,2017,6.0,39584,,,TV-MA,122 min,"Comedy, Drama, War",,,/title/tt4758646/
0,151,A Bad Moms Christmas,2017,5.6,39358,,,R,104 min,Comedy,"72,110,659",$72.11M,/title/tt6359956/
1,152,Flatliners,2017,5.2,39348,,,PG-13,109 min,"Drama, Horror, Mystery","16,866,403",$16.87M,/title/tt2039338/
2,153,Mudbound,2017,7.4,39225,,,R,134 min,"Drama, War",,,/title/tt2396589/
3,154,Raees,2017,6.8,38778,,,Not Rated,143 min,"Action, Crime, Drama","3,262,954",$3.26M,/title/tt3405236/
4,155,The House,2017,5.6,38738,,,R,88 min,"Comedy, Crime","25,481,529",$25.48M,/title/tt4481514/
5,156,The Meyerowitz Stories,2017,6.9,38694,,,TV-MA,112 min,"Comedy, Drama",,,/title/tt5536736/
6,157,Stronger,2017,6.9,38354,,,R,119 min,"Biography, Drama","4,211,129",$4.21M,/title/tt3881784/
7,158,Fist Fight,2017,5.6,38237,,,R,91 min,Comedy,"32,187,017",$32.19M,/title/tt3401882/
8,159,Suburbicon,2017,5.7,38009,,,R,105 min,"Comedy, Crime, Drama","5,775,178",$5.78M,/title/tt0491175/
9,160,Cumali Ceber: Allah Seni Alsin,2017,1.0,37515,,,,100 min,Comedy,,,/title/tt7221896/
10,161,To the Bone,2017,6.8,37499,,,TV-MA,107 min,Drama,,,/title/tt5541240/
11,163,Rings,2017,4.5,36489,,,PG-13,102 min,"Drama, Horror, Mystery","27,780,085",$27.78M,/title/tt0498381/
12,164,The Zookeeper's Wife,2017,7.0,36230,,,PG-13,127 min,"Biography, Drama, History","17,445,186",$17.45M,/title/tt1730768/
13,166,Icarus,2017,7.9,35208,,,TV-MA,120 min,"Documentary, Sport, Thriller",,,/title/tt6333060/
14,169,Ingrid Goes West,2017,6.6,33400,,,R,98 min,"Comedy, Drama","3,024,308",$3.02M,/title/tt5962210/
15,170,Cargo,2017,6.3,33267,,,TV-MA,105 min,"Drama, Horror, Sci-Fi",,,/title/tt3860916/
16,171,Revenge,2017,6.3,33067,,,R,108 min,"Action, Horror, Thriller","102,091",$0.10M,/title/tt6738136/
17,172,Verónica,2017,6.2,33053,,,TV-MA,105 min,Horror,,,/title/tt5862312/
18,173,Crimea,2017,6.9,33040,,,,99 min,"Action, Drama",,,/title/tt6990206/
19,175,Girls Trip,2017,6.2,32630,,,R,122 min,"Adventure, Comedy, Drama","115,171,585",$115.17M,/title/tt3564472/
20,176,Kidnap,2017,5.9,32277,,,R,95 min,"Crime, Drama, Thriller","30,718,107",$30.72M,/title/tt1458169/
21,177,Snatched,2017,4.5,32100,,,R,90 min,"Action, Adventure, Comedy","45,825,314",$45.83M,/title/tt2334871/
22,178,The Wife,2017,7.2,31969,,,R,99 min,Drama,"9,601,092",$9.60M,/title/tt3750872/
23,179,Ayla: The Daughter of War,2017,8.5,31475,,,,125 min,"Biography, Drama, History",,,/title/tt6316138/
24,180,Thoroughbreds,2017,6.7,31349,,,R,92 min,"Crime, Drama, Thriller","2,830,775",$2.83M,/title/tt5649108/
25,183,"Everything, Everything",2017,6.4,30791,,,PG-13,96 min,"Drama, Romance","34,000,284",$34.00M,/title/tt5001718/
26,185,Victoria & Abdul,2017,6.8,30012,,,PG-13,111 min,"Biography, Drama, History","22,245,070",$22.25M,/title/tt5816682/
27,187,"Roman J. Israel, Esq.",2017,6.5,29434,,,PG-13,122 min,"Crime, Drama, Thriller","11,962,712",$11.96M,/title/tt6000478/
28,189,The Shack,2017,6.3,28964,,,PG-13,132 min,"Drama, Fantasy","57,386,418",$57.39M,/title/tt2872518/
29,190,The Endless,2017,6.5,28816,,,Not Rated,111 min,"Drama, Fantasy, Horror","272,020",$0.27M,/title/tt3986820/
30,191,Ghost Stories,2017,6.4,28680,,,Not Rated,98 min,"Drama, Horror","135,095",$0.14M,/title/tt5516328/
31,192,Sleepless,2017,5.6,28528,,,R,95 min,"Action, Crime, Thriller","20,757,977",$20.76M,/title/tt2072233/
32,193,The Discovery,2017,6.3,27697,,,TV-MA,102 min,"Drama, Romance, Sci-Fi",,,/title/tt5155780/
33,194,Loveless,2017,7.6,27571,,,R,127 min,Drama,"566,356",$0.57M,/title/tt6304162/
34,196,The Glass Castle,2017,7.1,27379,,,PG-13,127 min,"Biography, Drama","17,273,059",$17.27M,/title/tt2378507/
35,197,Unlocked,2017,6.2,27092,,,R,98 min,"Action, Drama, Mystery",,,/title/tt1734493/
36,198,In the Fade,2017,7.1,26857,,,R,106 min,"Crime, Drama, Thriller","321,011",$0.32M,/title/tt5723272/
37,199,Home Again,2017,5.8,26134,,,PG-13,97 min,"Comedy, Drama, Romance","27,020,284",$27.02M,/title/tt5719700/
38,200,What the Health,2017,7.4,25738,,,,97 min,Documentary,,,/title/tt5541848/
0,201,Borg vs. McEnroe,2017,6.9,25389,,,R,107 min,"Biography, Drama, Sport","14,113,354",$14.11M,/title/tt5727282/
1,203,I Kill Giants,2017,6.2,25121,,,Not Rated,106 min,"Drama, Fantasy, Thriller",,,/title/tt4547194/
2,204,Table 19,2017,5.8,24768,,,PG-13,87 min,"Comedy, Drama, Romance","3,606,977",$3.61M,/title/tt1412528/
3,205,Thelma,2017,7.0,24412,,,Not Rated,116 min,"Drama, Fantasy, Horror","147,391",$0.15M,/title/tt6304046/
4,208,Captain Underpants: The First Epic Movie,2017,6.2,23962,,,PG,89 min,"Animation, Action, Comedy","73,921,000",$73.92M,/title/tt2091256/
5,210,The Ottoman Lieutenant,2017,6.6,23632,,,R,106 min,"Drama, War",,,/title/tt4943322/
6,211,Kaabil,2017,7.1,23420,,,Not Rated,139 min,"Action, Drama, Thriller",,,/title/tt5460276/
7,212,Wonder Wheel,2017,6.2,23385,,,PG-13,101 min,Drama,"1,403,237",$1.40M,/title/tt5825380/
8,213,Mersal,2017,7.7,23323,,,Not Rated,172 min,"Action, Thriller",,,/title/tt6485666/
9,214,Goodbye Christopher Robin,2017,7.1,23103,,,PG,107 min,"Biography, Drama","1,735,251",$1.74M,/title/tt1653665/
10,216,Vikram Vedha,2017,8.7,22902,,,Not Rated,147 min,"Action, Crime, Thriller",,,/title/tt6148156/
11,217,Disobedience,2017,6.6,22901,,,R,114 min,"Drama, Romance","3,480,702",$3.48M,/title/tt6108178/
12,218,The Wall,2017,6.2,22672,,,R,88 min,"Action, Drama, Thriller","1,803,009",$1.80M,/title/tt4218696/
13,219,Alias Grace,2017,7.8,22670,,,TV-MA,60 min,"Biography, Crime, Drama",,,/title/tt1034007/
14,220,The Book of Henry,2017,6.6,22659,,,PG-13,105 min,"Crime, Drama, Thriller","4,219,536",$4.22M,/title/tt4572792/
15,221,On Body and Soul,2017,7.6,22182,,,Not Rated,116 min,"Drama, Fantasy, Mystery",,,/title/tt5607714/
16,222,God's Own Country,2017,7.7,22164,,,Not Rated,104 min,"Drama, Romance","335,609",$0.34M,/title/tt5635086/
17,223,Jim & Andy: The Great Beyond,2017,7.7,21720,,,TV-MA,94 min,Documentary,,,/title/tt7214762/
18,225,Professor Marston & the Wonder Women,2017,7.1,21522,,,R,108 min,"Biography, Drama","1,584,759",$1.58M,/title/tt6133130/
19,226,The Lego Ninjago Movie,2017,6.0,21367,,,PG,101 min,"Animation, Action, Adventure","59,281,555",$59.28M,/title/tt3014284/
20,227,Last Flag Flying,2017,6.9,21332,,,R,125 min,"Comedy, Drama, War","965,481",$0.97M,/title/tt6018306/
21,228,A Fantastic Woman,2017,7.2,21028,,,R,104 min,Drama,"2,020,988",$2.02M,/title/tt5639354/
22,229,Jolly LLB 2,2017,7.2,20954,,,Not Rated,137 min,"Comedy, Drama","1,632,440",$1.63M,/title/tt5982852/
23,230,Inhumans,2017,5.0,20948,,,TV-PG,43 min,"Action, Adventure, Sci-Fi",,,/title/tt4154858/
24,231,Hindi Medium,2017,7.8,20931,,,Not Rated,132 min,"Comedy, Drama",,,/title/tt5764096/
25,232,Berlin Syndrome,2017,6.3,20824,,,R,116 min,"Drama, Horror, Mystery","28,660",$0.03M,/title/tt3335606/
26,233,Marrowbone,2017,6.6,20821,,,R,110 min,"Drama, Horror, Mystery","1,377",$0.00M,/title/tt5886440/
27,234,Megan Leavey,2017,7.1,20817,,,PG-13,116 min,"Biography, Drama, War","13,406,304",$13.41M,/title/tt4899370/
28,235,Aftermath,2017,5.6,20806,,,R,94 min,"Drama, Thriller",,,/title/tt4581576/
29,238,El bar,2017,6.3,20684,,,,102 min,"Comedy, Horror, Thriller",,,/title/tt5121816/
30,239,The Mist,2017,5.4,20678,,,TV-14,42 min,"Drama, Horror, Sci-Fi",,,/title/tt5639976/
31,240,Tiger Zinda Hai,2017,6.0,20667,,,Not Rated,161 min,"Action, Adventure, Thriller","5,560,921",$5.56M,/title/tt5956100/
32,242,The Bye Bye Man,2017,4.2,20412,,,PG-13,96 min,"Drama, Fantasy, Horror","22,377,458",$22.38M,/title/tt4030600/
33,244,All Eyez on Me,2017,5.8,20227,,,R,139 min,"Biography, Drama, Music","44,922,302",$44.92M,/title/tt1666185/
34,247,Cult of Chucky,2017,5.2,19446,,,R,91 min,"Comedy, Fantasy, Horror",,,/title/tt3280262/
35,248,Arjun Reddy,2017,8.2,19190,,,Not Rated,182 min,"Action, Drama, Romance",,,/title/tt7294534/
36,249,Secret Superstar,2017,7.9,19125,,,Not Rated,150 min,"Drama, Music",,,/title/tt6108090/
0,251,iBoy,2017,6.0,19036,,,TV-MA,90 min,"Action, Crime, Sci-Fi",,,/title/tt3171832/
1,252,Mom and Dad,2017,5.5,18937,,,R,86 min,"Comedy, Horror, Thriller",,,/title/tt5462326/
2,253,A Prayer Before Dawn,2017,6.9,18666,,,R,116 min,"Biography, Crime, Drama",,,/title/tt4080956/
3,254,2:22,2017,5.8,18621,,,PG-13,98 min,"Drama, Mystery, Sci-Fi",,,/title/tt1131724/
4,255,Aile Arasinda,2017,7.7,18487,,,,124 min,Comedy,,,/title/tt7642818/
5,256,Leatherface,2017,5.0,18409,,,R,90 min,"Crime, Horror, Thriller",,,/title/tt2620590/
6,257,The Little Hours,2017,5.8,18372,,,R,90 min,"Comedy, Romance","1,647,175",$1.65M,/title/tt5666304/
7,258,Fullmetal Alchemist,2017,5.2,18244,,,TV-14,135 min,"Action, Adventure, Fantasy",,,/title/tt5607028/
8,260,The Breadwinner,2017,7.7,18000,,,PG-13,94 min,"Animation, Drama, Family","312,381",$0.31M,/title/tt3901826/
9,261,When Harry Met Sejal,2017,5.3,17934,,,Not Rated,143 min,"Comedy, Drama, Romance","1,284,740",$1.28M,/title/tt5997666/
10,262,The Vietnam War,2017,9.1,17832,,,TV-MA,990 min,"Documentary, History, War",,,/title/tt1877514/
11,263,Little Evil,2017,5.7,17793,,,TV-MA,94 min,"Comedy, Horror",,,/title/tt2937366/
12,264,Sand Castle,2017,6.3,17782,,,TV-MA,113 min,"Drama, War",,,/title/tt2582576/
13,265,Lucky,2017,7.3,17610,,,Not Rated,88 min,"Comedy, Drama, Western","955,925",$0.96M,/title/tt5859238/
14,266,Song to Song,2017,5.7,17571,,,R,129 min,"Drama, Music, Romance","443,684",$0.44M,/title/tt2062700/
15,267,Breathe,2017,7.1,17446,,,PG-13,118 min,"Biography, Drama, Romance","490,131",$0.49M,/title/tt5716464/
16,268,Smurfs: The Lost Village,2017,6.0,17405,,,PG,90 min,"Animation, Adventure, Comedy","45,020,282",$45.02M,/title/tt2398241/
17,270,Tulip Fever,2017,6.2,17303,,,R,105 min,"Drama, History, Romance","2,425,664",$2.43M,/title/tt0491203/
18,271,Beyond Skyline,2017,5.3,17260,,,R,106 min,"Action, Adventure, Horror",,,/title/tt1724970/
19,272,Wish Upon,2017,5.0,17127,,,PG-13,90 min,"Drama, Fantasy, Horror","14,301,505",$14.30M,/title/tt5322012/
20,273,Bareilly Ki Barfi,2017,7.5,17041,,,,116 min,"Comedy, Romance",,,/title/tt6967980/
21,274,Marshall,2017,7.2,17000,,,PG-13,118 min,"Biography, Crime, Drama","10,051,659",$10.05M,/title/tt5301662/
22,275,Loving Pablo,2017,6.3,16976,,,R,123 min,"Biography, Crime, Drama","22,017",$0.02M,/title/tt4682788/
23,276,My Cousin Rachel,2017,6.0,16947,,,PG-13,106 min,"Drama, Mystery, Romance","2,676,077",$2.68M,/title/tt4411596/
24,277,Toilet: A Love Story,2017,7.2,16901,,,Not Rated,155 min,"Comedy, Drama","1,830,715",$1.83M,/title/tt5785170/
25,278,6 Days,2017,6.2,16867,,,R,94 min,"Action, Drama, History",,,/title/tt4703048/
